ItemID	PlatformID	ItemName	ItemType	UmitPrice	isPile	PileNum	isGiver	isCompose	isSell	ObtainItemIDList	ObtainItemCountList	isDisapear	isDelivery	DeliveryGameID	DeliveryFunctionID	EffTime	ExpireDate	ImagePath	ImageSmallPath	ItemDesc	
30010	0	TCL 55寸电视	3		0							1						new_ui/common/red_packet/TCL_dianshi.png		使用后可获得TCL 55寸电视一台，使用需绑定手机号并绑定公众号	
30011	0	滚筒洗衣机	3		0							1						new_ui/common/red_packet/haier_xiyiji.png		使用后可获得滚筒洗衣机一台，使用需绑定手机号并绑定公众号	
30012	0	科沃斯扫地机器人	3		0							1						new_ui/common/red_packet/kewoshi_tuodiji.png		使用后可获得科沃斯扫地机器人一台，使用需绑定手机号并绑定公众号	
30013	0	小熊酸奶机	3		0							1						new_ui/common/red_packet/xiaoxiong_zhazhiji.png		使用后可获得小熊酸奶机一台，使用需绑定手机号并绑定公众号	
30014	0	Beats 蓝牙头戴式耳机	3		0							1						new_ui/common/red_packet/lanya_erji.png		使用后可获得Beats 蓝牙头戴式耳机一个，使用需绑定手机号并绑定公众号	
30015	0	富士拍立得	3		0							1						new_ui/common/red_packet/pailide_xiangji.png		使用后可获得富士拍立得一台，使用需绑定手机号并绑定公众号	
30016	0	MacBook Pro	3		0							1						new_ui/common/red_packet/MacBook Pro.png		使用后可获得MacBook Pro一台，使用需绑定手机号并绑定公众号	
30017	0	iPad Pro 13寸	3		0							1						new_ui/common/red_packet/iPad_pro_baise.png		使用后可获得iPad Pro 13寸一台，使用需绑定手机号并绑定公众号	
30018	0	Apple Watch Series3	3		0							1						new_ui/common/red_packet/Apple Watch.png		使用后可获得Apple Watch Series3一只，使用需绑定手机号并绑定公众号	
30019	0	Apple AirPods无线耳机	3		0							1						new_ui/common/red_packet/AirPods.png		使用后可获得Apple AirPods无线耳机一个，使用需绑定手机号并绑定公众号	
30020	0	10G金条	3		0							1						new_ui/common/red_packet/huangjin10g.png		请填写收货信息(需先在游戏和公众号绑定手机号)，奖品在发货后7日内天送达。有问题在公众号里联系客服。	
30021	0	20G金条	3		0							1						new_ui/common/red_packet/huangjin20g.png		请填写收货信息(需先在游戏和公众号绑定手机号)，奖品在发货后7日内天送达。有问题在公众号里联系客服。	
30022	0	50G金元宝	3		0							1						new_ui/common/red_packet/huangjin50g.png		请填写收货信息(需先在游戏和公众号绑定手机号)，奖品在发货后7日内天送达。有问题在公众号里联系客服。	
30023	0	戴森吸尘器	3		0							1						new_ui/common/red_packet/xichenqi.png		请填写收货信息(需先在游戏和公众号绑定手机号)，奖品在发货后7日内天送达。有问题在公众号里联系客服。	
120010	0	6万金币	5	6	0					1001	60000			0				new_ui/ShopWindow/6yuan_1.png			
120011	0	12万金币	5	12	0					1001	120000			0				new_ui/ShopWindow/12yuan_1.png			
120012	0	13.8万金币	5	12	0					1001	138000			0				new_ui/ShopWindow/12yuan_1.png			
120013	0	33万金币	5	30	0					1001	330000			0				new_ui/ShopWindow/30yuan_1.png			
120014	0	69万金币	5	60	0					1001	690000			0				new_ui/ShopWindow/60yuan_1.png			
120015	0	120万金币	5	98	0					1001	1200000			0				new_ui/ShopWindow/98yuan_1.png			
120016	0	160万金币	5	128	0					1001	1600000			0				new_ui/ShopWindow/128yuan_1.png			
120017	0	460万金币	5	328	0					1001	4600000			0				new_ui/ShopWindow/328yuan_1.png			
120018	0	首充礼包	5	6	0					1001	120000			0				mall_xiaodaijinbi.png			
120019	0	特惠礼包	5	30	0					1001	660000			0							
120020	0	周卡	5	30	0					1001	310000			0				new_ui/common/red_packet/weekcard.png		每天可获得20000金币	
130001	0	1万金币	5	100	0					1001	10000			0				new_ui/ShopWindow/mall_xiaodaijinbi.png			
130002	0	2万金币	5	200	0					1001	20000			0							
130003	0	3万金币	5	300	0					1001	30000			0				new_ui/ShopWindow/mall_xiaodaijinbi.png			
130004	0	10万金币	5	1000	0					1001	100000			0				new_ui/ShopWindow/mall_xiaodaijinbi.png			
130005	0	20万金币	5	2000	0					1001	200000			0				new_ui/ShopWindow/mall_xiaodaijinbi.png			
130006	0	30万金币	5	3000	0					1001	300000			0							
1100010	0	6万金币	5	6	0					1001	60000			0				new_ui/ShopWindow/6yuan_1.png			
1100011	0	12万金币	5	12	0					1001	120000			0							
1100012	0	13.8万金币	5	12	0					1001	138000			0				res/new_ui/ShopWindow/12yuan_1.png			
1100013	0	33万金币	5	30	0					1001	330000			0				res/new_ui/ShopWindow/30yuan_1.png			
1100014	0	69万金币	5	60	0					1001	690000			0				res/new_ui/ShopWindow/60yuan_1.png			
1100015	0	120万金币	5	98	0					1001	1200000			0				res/new_ui/ShopWindow/98yuan_1.png			
1100016	0	160万金币	5	128	0					1001	1600000			0							
1100017	0	460万金币	5	328	0					1001	4600000			0				res/new_ui/ShopWindow/328yuan_1.png			
1100018	0	首充礼包	5	6	0					1001	120000			0				mall_xiaodaijinbi.png			
1100019	0	特惠礼包	5	30	0					1001	660000			0							
1100020	0	周卡	5	30	0					1001	310000			0				res/new_ui/common/red_packet/weekcard.png		每天可获得20000金币	
1200010	0	6万金币	5	6	0					1001	60000			0				res/new_ui/ShopWindow/6yuan_1.png			
1200011	0	12万金币	5	12	0					1001	120000			0							
1200012	0	13.8万金币	5	12	0					1001	138000			0				res/new_ui/ShopWindow/12yuan_1.png			
1200013	0	33万金币	5	30	0					1001	330000			0							
1200014	0	69万金币	5	60	0					1001	690000			0				res/new_ui/ShopWindow/60yuan_1.png			
1200015	0	120万金币	5	98	0					1001	1200000			0				res/new_ui/ShopWindow/98yuan_1.png			
1200016	0	160万金币	5	128	0					1001	1600000			0				res/new_ui/ShopWindow/128yuan_1.png			
1200017	0	460万金币	5	328	0					1001	4600000			0				res/new_ui/ShopWindow/328yuan_1.png			
1200018	0	首充礼包	5	6	0					1001	120000			0							
1200019	0	特惠礼包	5	30	0					1001	660000			0							
1200020	0	周卡	5	30	0					1001	310000			0							
